timestamp,user_id,session_duration,num_login_attempts,data_downloaded,data_uploaded,num_alerts,num_firewall_hits,avg_response_time,encryption_type,latitude_coord,longitude_coord,os_version,user_role,alert_level,cluster
2021-08-20 21:46:46,7017,15.139301160685031,4,106.74793367209811,46.90746116723368,0,15,3.3917299852691793,RSA,-4.518070052184507,-0.5289504110209347,Linux,user,medium,0
2021-06-27 20:32:58,9034,0.6040699948923749,2,290.6144883752145,37.95216830239432,3,9,1.99333569921202,AES,-6.1085448319415345,-0.49960314367838665,Windows,guest,high,0
2021-02-18 03:21:51,3137,26.152234824437404,5,66.55126203008605,76.80535131543928,4,4,1.2620757146510146,AES,-1.8011977482453019,-3.230456531137028,macOS,user,high,0
2021-05-30 01:04:42,3026,3.4647344836109544,4,382.65490572829873,74.65679035639779,3,18,0.5552665044320093,None,-2.0843158959832637,-1.2465401004189527,macOS,user,medium,0
2021-04-27 15:01:52,7859,53.19505642512694,6,472.5335127851151,0.3160297290709213,1,19,4.496293322331945,AES,-9.72647826036385,9.401472950342868,Linux,guest,high,1
2021-08-02 17:18:55,4337,5.143001657402085,4,27.057464241328933,6.4550822714612766,1,19,3.092372730296779,AES,-3.9280760827312635,-10.233343233216889,Windows,user,high,0
2021-09-05 03:47:07,6931,29.246956414321573,4,148.3899752876014,56.23371605653246,1,4,2.865561071871453,RSA,-3.9375180103377976,-6.192554070199709,macOS,admin,high,0
2021-08-19 17:24:57,7550,2.8815212457013315,5,238.55150331106307,25.231574903270072,4,11,3.199580245074244,None,-3.6494902347502873,-7.167756726603009,Linux,guest,high,0
2021-07-15 17:10:11,9821,3.048010528924457,7,340.3577286309994,19.695678036692353,4,3,3.1871545182046552,None,-4.920268858891554,-7.744786690137623,macOS,guest,medium,0
2021-05-06 01:56:52,8185,31.032425494554982,5,225.77976400881255,62.91510530306393,3,9,3.1355580497446054,RSA,-2.4815100593399304,-8.19267975502399,Windows,guest,low,0
2021-03-03 17:58:47,5499,7.893362654246528,2,253.63408551877342,98.8674933200816,3,4,1.6993710177480976,AES,-3.766210965099864,-9.490271880527244,Windows,guest,low,0
2021-01-07 05:31:31,7530,1.059617404146039,7,298.956776708128,81.82214291671683,2,19,2.6224782950558096,AES,-4.223398747452784,-1.5125777156436278,macOS,user,high,0
2021-05-09 08:06:25,2626,134.79229703345848,8,406.50973197403073,53.098155946115966,0,18,2.6598862742426643,RSA,-4.568585242353975,-8.484085383137012,Windows,user,high,0
2021-05-28 09:51:46,7874,14.032351476533865,1,257.76758179834485,95.72593421823964,3,4,1.0063721907162992,RSA,-3.8491001989640994,-8.393993985392278,macOS,user,low,0
2021-09-03 06:05:13,3387,10.466125823544353,7,414.62204135286726,3.036232047931775,3,3,3.3753233246273213,None,-10.04461314660657,10.927126038053625,Linux,admin,high,1
2021-06-15 06:08:46,6756,37.26832142046627,6,370.6257620622126,30.560970825560695,4,6,3.6014542314717435,AES,-2.7596521150067574,-0.3822808802582776,macOS,user,high,0
2021-06-02 11:25:09,7962,0.19828445098212563,7,468.4448365063357,57.90801834966685,0,10,0.5457034844709304,RSA,-9.426865619047236,9.471473088744915,Linux,guest,low,1
2021-08-04 10:36:53,5931,6.112477035707002,1,75.58663574105722,12.713838003850753,1,2,3.9135352619829487,RSA,-9.344360473352522,11.510092767050875,Windows,admin,high,1
2021-05-05 01:38:11,8539,8.964899779148729,8,339.9348156711676,7.161691433296891,1,16,1.2373118403876817,RSA,-2.0859205592482204,-7.648160119591812,Windows,user,high,0
2021-03-11 14:15:46,3082,29.8723719328965,7,233.3522177701439,72.84643904099411,0,9,2.17180065980944,AES,-2.1933657271214786,-7.859692117769082,Linux,admin,low,0
2021-03-20 08:23:00,1991,14.008266774969751,7,142.68457928735762,80.45565396158759,1,17,2.1440304745616796,None,-3.214294572844012,-0.20930148037258012,Windows,user,low,0
2021-06-16 16:46:29,4832,82.55311372685456,9,27.684635162733727,7.958587639642722,3,3,3.8848883681632804,RSA,-3.8061460125698963,-0.3319696936544152,Windows,user,low,0
2021-03-22 15:15:12,3883,20.150528861531335,5,362.3275795496875,65.70835328650278,0,16,1.0982523579030785,RSA,-3.6394015912714086,-8.093922411505392,Linux,guest,medium,0
2021-04-13 23:37:29,2209,34.511659601474676,9,297.90497557184386,68.35638362099206,3,6,1.2513248737853424,RSA,-4.01919210162151,-6.995976729434315,macOS,admin,medium,0
2021-06-08 11:22:44,9526,46.06537627707254,5,316.34676222639575,70.81641475304944,4,12,0.11029418672479438,RSA,-10.330606407705952,8.583187817535807,Windows,guest,high,1
2021-06-16 14:26:10,8376,11.637737547039485,7,423.30621215346366,64.23536621750759,2,14,0.5413470908455917,AES,-2.9655731595519494,0.5589867103241153,Windows,guest,low,0
2021-05-25 07:10:06,6101,45.22395650706556,7,113.26493361953332,18.816263107760424,0,19,0.3429955942407306,None,-1.0291653851499045,0.4746913665758665,Windows,admin,medium,0
2021-06-16 15:25:06,4090,19.496273062101466,6,123.5423322834377,85.1281009008833,1,17,0.889562795562668,RSA,-4.282505530579136,-8.63711599453374,Windows,admin,low,0
2021-05-04 03:51:29,1761,27.439854348006115,2,294.822078049863,48.68224735436838,3,16,0.3187538986494558,AES,-10.927510303098021,10.1419432870968,Linux,admin,high,1
2021-01-25 02:36:24,7084,48.64299375115117,7,379.09309697810113,96.43814851644352,3,15,3.7027466424312405,None,-2.813335686540143,-0.11243359979801149,Linux,guest,high,0
2021-07-14 08:06:21,9853,35.306016559844274,4,55.83955622165021,40.04209147070923,3,17,2.200586582070077,AES,-10.150515810304215,9.45589426540567,Linux,admin,medium,1
2021-04-04 08:43:09,7683,4.156173816705483,4,265.6581705737807,84.81910526376318,1,17,0.5185889748395565,None,-8.599986998477588,9.23883494393524,Linux,user,high,1
2021-04-14 17:22:08,6854,3.255088059299548,6,306.26011137584686,44.95912537170148,3,17,4.287172863993361,None,-10.17483955649352,9.762649339695045,Linux,user,medium,1
2021-07-30 14:48:30,4856,84.62673979923787,7,309.93554452968266,34.049167964365054,3,1,4.258580193554375,RSA,-3.767532487230246,-6.209485596393776,Windows,admin,medium,0
2021-03-11 21:54:29,3674,45.86963335303479,7,84.82089395295323,70.17901549212466,2,16,0.4530818862028505,RSA,-2.759536024833288,-7.87265455428898,macOS,admin,medium,0
2021-06-16 20:24:30,1498,8.875536782132327,5,232.15908734626368,9.392164108936784,0,17,2.9008122580099944,None,-2.3715565566411394,0.3230050340936681,Windows,guest,high,0
2021-01-16 17:03:36,3172,59.0499921138679,5,15.659899455544746,77.51603050501132,4,17,1.873798558534855,None,-2.235936487380002,-8.196691246592257,Linux,user,medium,0
2021-01-05 23:03:47,8215,2.2633441141113275,6,274.8875883464753,45.08043570797775,4,8,4.269908469795664,RSA,-3.859022927907974,-8.559674831923745,Windows,user,medium,0
2021-09-04 11:44:56,8969,5.237581462443064,3,319.09911167315477,72.42324922657045,3,18,2.455652527072632,AES,-5.311025298426009,-7.428949944357056,Linux,admin,high,0
2021-03-14 08:22:39,7033,10.987830180180218,2,205.71859987309148,19.55745285556215,2,1,0.8051263895141743,None,-4.234685789227073,-0.5077528290108156,Windows,guest,high,0
2021-01-22 08:48:19,5110,23.633523417751512,3,119.54990085403749,99.01381084238045,1,1,1.2116476298580905,AES,-9.789819011452437,9.988540955117013,macOS,guest,high,1
2021-02-03 20:48:38,4678,50.39674000842016,6,38.79088717942514,6.012775671016968,3,8,1.5628102844367824,AES,-1.2340508194383022,-2.1819716396286326,Windows,guest,low,0
2021-02-26 15:33:19,9707,15.366481547435008,4,199.717824000181,85.79742946974643,2,4,4.2751570432484005,None,-2.639687035918026,-0.5998217604798153,Linux,admin,high,0
2021-05-11 12:31:20,7655,13.882138164107367,9,193.10809207043567,52.86597991191633,2,2,4.723365875068555,RSA,-1.25390750140255,-1.6421478909386265,macOS,user,low,0
2021-06-08 01:18:23,3868,50.72843371524464,8,73.53189489387202,48.382092123568675,1,15,2.4321525066302523,AES,-3.2657412686955603,-8.10249422481606,macOS,guest,medium,0
2021-06-15 13:23:00,4256,32.33954754598235,9,380.2349195348113,31.210268655425388,4,5,1.0326952105878302,AES,-4.981080940846711,-8.929692854276459,macOS,user,high,0
2021-03-17 03:31:41,2238,24.867174454286637,2,216.1487399105873,27.828922503562136,3,7,3.570533137785369,RSA,-7.844644823869773,10.485538802106927,macOS,admin,medium,1
2021-09-05 15:41:36,1881,23.105662753663356,5,56.98101714361115,21.90664569688845,0,5,2.949119193915329,None,-9.122501959898488,8.893428092912954,macOS,guest,low,1
