1940-09-10 00:14, RJ, 9.41C, 43%, 8.01 knots, 19.74, 128.41
1940-09-10 00:26, RJ, -3.45C, 63%, 10.37 knots, 15.29, -455.43
1940-09-10 00:32, RJ, -1.48C, 54%, 1.77 knots, 51.04, 31.01
1940-09-10 00:43, RJ, -4.43C, 60%, 0.82 knots, 24.0, 104.28
1940-09-10 00:54, RH, -3.33C, 47%, 19.29 knots, 1.97, 190.31
1940-09-10 01:01, RH, 15.82C, 84%, 3.59 knots, 53.67, 136.61
1940-09-10 01:08, RZ, 2.68C, 86%, 16.15 knots, 3.34, 203.76
1940-09-10 01:16, RZ, 25.31C, 70%, 17.47 knots, 61.07, 359.49
1940-09-10 01:25, RZ, 10.11C, 57%, 12.56 knots, 93.55, 401.5
1940-09-10 01:34, RZ, 3.01C, 76%, 10.22 knots, 74.73, 103.05
1940-09-10 01:41, RZ, 11.89C, 62%, 4.2 knots, 3.79, 312.27
1940-09-10 01:47, SS, 18.63C, 73%, 16.54 knots, 34.86, -198.58
1940-09-10 01:56, SS, 4.48C, 45%, 19.6 knots, 38.69, -119.04
1940-09-10 02:02, SS, 9.2C, 55%, 18.88 knots, 34.92, 190.88
1940-09-10 02:14, TM, 10.34C, 81%, 4.14 knots, 20.14, 274.31
1940-09-10 02:23, TM, 28.04C, 80%, 7.45 knots, 16.19, 399.61
1940-09-10 02:33, TN, 21.62C, 69%, 17.56 knots, 70.62, 142.52
1940-09-10 02:44, TN, 13.17C, 54%, 0.97 knots, 70.81, -121.53
1940-09-10 02:54, TN, 20.99C, 55%, 15.89 knots, 53.92, -56.77
1940-09-10 03:01, TN, 12.6C, 83%, 12.59 knots, 36.09, -158.65
1940-09-11 00:08, RJ, -6.3C, 51%, 8.44 knots, 34.24, -155.63
1940-09-11 00:14, RJ, 15.76C, 64%, 8.06 knots, 71.87, 249.33
1940-09-11 00:20, RJ, 29.86C, 85%, 16.91 knots, 48.33, 492.15
1940-09-11 00:27, QP, 29.38C, 75%, 16.26 knots, 11.49, 37.67
1940-09-11 00:34, QP, 18.09C, 57%, 8.62 knots, 4.97, -469.95
1940-09-11 00:41, RG, -0.89C, 81%, 7.79 knots, 95.82, -373.42
1940-09-11 00:53, RG, -3.09C, 50%, 1.47 knots, 80.19, -442.05
1940-09-11 01:01, QN, 18.23C, 57%, 4.63 knots, 84.67, -377.54
1940-09-11 01:09, QN, 21.77C, 49%, 10.43 knots, 87.77, -362.75
1940-09-11 01:17, RF, 24.22C, 64%, 8.53 knots, 58.33, -235.65
1940-09-11 01:26, RF, 0.41C, 74%, 1.92 knots, 21.82, -176.32
1940-09-11 01:38, RF, -7.11C, 47%, 11.47 knots, 52.24, 68.67
1940-09-11 01:53, RF, 12.28C, 62%, 0.11 knots, 69.09, -336.78
1940-09-11 02:00, RY, 6.26C, 87%, 11.86 knots, 62.28, -63.42
1940-09-11 02:11, RY, 17.45C, 90%, 14.16 knots, 84.12, -449.94
1940-09-11 02:20, RY, -1.16C, 95%, 4.13 knots, 40.21, 305.77
1940-09-11 02:27, RY, 13.5C, 67%, 3.92 knots, 38.93, 381.42
1940-09-11 02:35, SR, 1.5C, 90%, 17.7 knots, 29.63, 198.88
1940-09-11 02:43, SR, 23.31C, 92%, 18.64 knots, 24.9, 215.52
1940-09-11 02:51, SR, 8.07C, 92%, 19.11 knots, 8.51, -255.85
1940-09-11 03:00, SR, -7.61C, 56%, 0.13 knots, 37.44, 302.39
1940-09-11 03:15, SR, 4.61C, 72%, 5.94 knots, 48.55, 321.26
1940-09-11 03:22, TK, -2.91C, 72%, 18.06 knots, 24.93, -37.4
