timestamp,lat,lon,token
2026-08-01T02:36:52Z,-14.1721,89.3481,n
2026-08-01T11:50:01Z,36.4708,-174.4673,b
2026-08-01T01:15:25Z,-52.8139,119.1966,6
2026-08-01T15:29:59Z,38.0682,-55.0409,p
2026-08-01T02:17:08Z,33.3097,-153.6178,z
2026-08-01T17:37:03Z,0.5347,-38.2836,f
2026-08-01T12:23:09Z,-42.5099,-81.4957,}
2026-08-01T09:08:33Z,-36.1182,-55.9583,4
2026-08-01T22:44:27Z,-38.6270,33.9391,m
2026-08-01T22:31:42Z,23.1157,-79.7278,7
2026-08-01T03:15:23Z,-43.6718,-78.5650,_
2026-08-01T14:39:41Z,34.1204,38.1132,z
2026-08-01T19:17:41Z,-48.7051,71.7395,{
2026-08-01T13:32:10Z,33.5426,160.2446,k
2026-08-01T21:50:20Z,-46.0594,126.8851,l
2026-08-01T18:51:14Z,-53.0161,-117.2147,7
2026-08-01T12:24:33Z,-55.0780,-77.8196,w
2026-08-01T16:25:34Z,51.4998,70.7374,2
2026-08-01T04:30:52Z,25.5358,-53.5122,v
2026-08-01T17:28:57Z,23.8303,61.9990,m
2026-08-01T19:28:52Z,21.1151,-40.9637,a
2026-08-01T05:49:42Z,20.3700,24.5409,0
2026-08-01T18:17:42Z,23.0065,117.6272,0
2026-08-01T13:35:42Z,13.3897,-169.0948,t
2026-08-01T10:12:44Z,47.6301,-161.1671,i
2026-08-01T07:08:00Z,52.1322,61.2240,q
2026-08-01T10:01:42Z,-23.8977,-58.7918,l
2026-08-01T12:18:36Z,-38.1505,-102.4683,7
2026-08-01T08:53:42Z,27.6113,-72.3387,w
2026-08-01T12:40:44Z,-37.6639,8.9175,q
2026-08-01T04:17:13Z,-49.8464,-168.3851,9
2026-08-01T22:57:21Z,28.4175,34.6799,6
2026-08-01T11:52:08Z,43.2335,-159.3427,8
2026-08-01T06:48:58Z,11.1268,51.5738,h
2026-08-01T08:22:17Z,37.7361,143.5839,d
2026-08-01T06:45:46Z,30.6943,162.8032,6
2026-08-01T12:04:23Z,2.2912,-136.2803,f
2026-08-01T19:50:19Z,12.7413,-44.2582,3
2026-08-01T16:50:59Z,-5.0432,157.5384,8
2026-08-01T07:01:57Z,-4.2366,-69.1410,e
2026-08-01T08:24:40Z,48.8651,147.6876,k
2026-08-01T22:21:09Z,12.3866,-136.8888,o
2026-08-01T21:42:15Z,-20.1494,86.3034,3
2026-08-01T02:34:15Z,10.6615,0.1520,s
2026-08-01T02:01:00Z,-57.7757,-58.6739,9
2026-08-01T10:43:05Z,-30.7299,-85.7348,v
2026-08-01T20:39:15Z,-21.7078,-100.7613,r
2026-08-01T09:25:45Z,17.3269,-51.0445,j
2026-08-01T06:18:35Z,-59.8514,36.3306,g
2026-08-01T17:33:24Z,-17.0603,-49.6743,7
2026-08-01T20:41:20Z,-33.1917,22.8125,e
2026-08-01T12:27:18Z,-49.8640,-54.0874,l
2026-08-01T21:44:11Z,-24.0976,110.9781,j
2026-08-01T21:39:15Z,-19.2653,97.1625,m
2026-08-01T21:03:21Z,43.8883,-29.9194,e
2026-08-01T13:22:57Z,40.4133,158.3416,}
2026-08-01T21:38:16Z,40.5651,156.5133,t
2026-08-01T02:35:04Z,9.5745,5.9884,{
2026-08-01T22:13:36Z,53.4232,-86.6947,n
2026-08-01T00:38:41Z,51.7796,-55.2301,v
2026-08-01T21:20:11Z,41.0398,45.6897,3
2026-08-01T02:08:43Z,16.4217,91.7549,y
2026-08-01T03:13:44Z,-37.6453,150.9135,a
2026-08-01T11:59:00Z,24.3381,-150.1626,2
2026-08-01T13:51:54Z,-37.3544,-122.3688,k
2026-08-01T15:44:22Z,57.3324,-63.8523,2
2026-08-01T20:08:49Z,52.3985,-153.6760,}
2026-08-01T03:43:56Z,46.2741,116.4723,9
2026-08-01T08:07:05Z,-5.1170,108.1068,e
2026-08-01T01:02:54Z,-45.8943,84.5175,1
2026-08-01T03:50:17Z,22.9451,61.7692,y
2026-08-01T21:56:31Z,-9.6588,-86.7220,h
2026-08-01T05:09:16Z,28.2975,-136.2540,l
2026-08-01T11:19:57Z,-50.2651,-104.7451,r
2026-08-01T14:59:41Z,-18.1221,-33.0410,f
2026-08-01T05:34:22Z,32.3616,-61.8040,m
2026-08-01T09:15:39Z,-14.6281,114.4094,l
2026-08-01T10:28:57Z,-6.3411,-131.4045,c
2026-08-01T08:57:58Z,-3.6626,-75.3479,5
2026-08-01T11:19:35Z,33.6867,-129.0382,x
2026-08-01T02:08:50Z,-2.0863,-43.7255,e
2026-08-01T02:48:05Z,20.3424,-21.6827,2
2026-08-01T12:53:35Z,45.4578,23.3525,q
2026-08-01T22:45:59Z,-43.6103,-166.5105,q
2026-08-01T09:19:14Z,19.9036,-8.4130,}
2026-08-01T05:40:58Z,22.9836,-42.6305,}
2026-08-01T12:55:57Z,-55.1082,73.8413,n
2026-08-01T21:24:09Z,26.8540,62.0912,v
2026-08-01T22:21:56Z,3.9575,-108.4352,z
2026-08-01T19:23:39Z,55.8244,113.6656,x
2026-08-01T07:11:25Z,-26.2237,118.6779,l
2026-08-01T12:40:58Z,1.3693,160.7089,4
2026-08-01T12:20:26Z,-11.1587,168.5633,1
2026-08-01T09:50:13Z,17.4055,93.4592,6
2026-08-01T20:45:52Z,8.6739,-24.5190,h
2026-08-01T18:03:17Z,50.1821,69.0385,w
2026-08-01T19:08:45Z,48.7023,-70.6784,y
2026-08-01T23:07:21Z,4.6035,60.0111,4
2026-08-01T02:42:02Z,-13.1093,19.0722,u
2026-08-01T02:32:57Z,18.0358,-1.1680,}
2026-08-01T07:15:59Z,-8.0155,-28.1725,f
2026-08-01T02:30:07Z,29.2128,1.2077,7
2026-08-01T09:24:18Z,-16.6864,26.1799,h
2026-08-01T22:20:38Z,22.0558,-121.5633,h
